zeta,Score,Clusters,event
1,0.58,20,stim
10,0.72,20,stim
20,0.71,20,stim
30,0.73,20,stim
40,0.74,20,stim
50,0.675,20,stim
1,0.704545455,22,cue
10,0.759090909,22,cue
20,0.718181818,22,cue
30,0.704545455,22,cue
40,0.727272727,22,cue
50,0.727272727,22,cue
1,0.691666667,24,cue1
10,0.683333333,24,cue1
20,0.670833333,24,cue1
30,0.679166667,24,cue1
40,0.675,24,cue1
50,0.641666667,24,cue1
1,0.65,26,stim1
10,0.653846154,26,stim1
20,0.676923077,26,stim1
30,0.646153846,26,stim1
40,0.642307692,26,stim1
50,0.630769231,26,stim1
